"file_id","select_ref_id","num_cell","blade_numlayer","kmeans_numlayer","gmm_numlayer","gap_numlayer","dbscan_numlayer","op_numlayer","Xin_count_1","Xin_count_2","Xin_count_3","mean_manual_count"
"0001_part_1_patch_6",1,449,11,5,6,6,9,6,11,10,14,11.67
"045_part_2_patch_1",1,689,18,33,5,5,16,11,14,14,13,13.67
"138_part_1_patch_1",2,1731,19,5,5,25,4,18,18,25,22,21.67
"122_part_1_patch_1",2,486,11,5,6,22,17,7,9,10,10,9.67
"037_part_1_patch_3",1,523,11,23,8,22,11,4,13,12,8,11
"125_part_1_patch_2",1,1323,24,5,8,5,43,18,23,18,17,19.33
"011-1_part_2_patch_6",1,1147,24,5,7,5,8,11,18,17,18,17.67
"019_part_1_patch_1",1,1048,11,5,12,26,5,5,16,12,7,11.67
"125_part_1_patch_3",1,1329,19,5,9,9,36,19,22,21,17,20
"009-1_part_2_patch_1",1,853,19,5,5,5,18,13,18,26,22,22
"032-1_part_2_patch_2",1,269,13,5,6,13,12,8,11,10,8,9.67
"069_part_1_patch_1",1,560,13,33,7,26,10,10,9,16,11,12
"012-1_part_1_patch_3",1,775,17,30,5,25,18,13,12,16,16,14.67
"070_part_1_patch_4",2,514,13,5,5,5,19,6,15,13,11,13
"075_part_1_patch_3",1,426,9,22,5,5,12,6,8,8,8,8
"042_part_1_patch_2",2,625,13,5,9,15,12,6,15,12,13,13.33
"002_part_1_patch_2",1,522,15,15,6,11,22,8,13,12,13,12.67
"130_part_1_patch_1",1,809,11,6,12,29,11,4,14,11,10,11.67
"070_part_1_patch_3",2,755,15,30,5,28,20,12,11,13,12,12
"117_part_1_patch_1",2,867,19,5,8,6,43,16,20,20,18,19.33
"022-1_part_1_patch_1",1,442,16,5,5,7,16,10,12,12,11,11.67
"105_part_1_patch_1",1,475,10,31,5,5,10,5,9,8,10,9
"116_part_1_patch_3",1,643,9,6,9,21,6,6,8,7,9,8
"071_part_1_patch_2",2,1251,13,5,18,11,25,12,19,18,13,16.67
"006_part_1_patch_2",1,509,13,11,5,33,12,9,11,11,10,10.67
"019_part_2_patch_2",1,871,16,6,7,14,22,14,14,21,16,17
"132_part_2_patch_1",1,503,14,5,6,27,16,4,11,14,11,12
"118_part_3_patch_2",1,1638,19,5,8,7,28,13,33,24,26,27.67
"137_part_4_patch_3",1,581,15,6,8,32,19,9,12,13,13,12.67
"007-1_part_1_patch_4",1,1220,20,5,6,34,36,17,21,26,14,20.33
